,file_number,word,frequency
690,22_5654,vorgesehen,7
691,22_5654,vorschriften,6
692,22_5654,hbauo,6
693,22_5654,vorbemerkung,6
694,22_5654,planung,6
695,22_5654,untersuchungen,6
696,22_5654,wege,6
697,22_5654,weitere,5
698,22_5654,sinne,5
699,22_5654,dienen,5
700,22_5660,we,28
701,22_5660,gesamt,26
702,22_5660,bündnis,22
703,22_5660,wohneinheiten,22
704,22_5660,bezirk,20
705,22_5660,geförderte,17
706,22_5660,vordringlich,16
707,22_5660,konzeptausschreibungen,14
708,22_5660,vereinbart,13
709,22_5660,tabelle,13
710,22_5660,wandsbek,12
711,22_5660,hamburgmitte,12
712,22_5660,hamburgnord,12
713,22_5660,altona,12
714,22_5660,legislaturperiode,12
715,22_5660,haushalte,12
716,22_5660,eimsbüttel,12
717,22_5660,harburg,11
718,22_5660,bergedorf,11
719,22_5660,wohnungen,10
720,22_5687,mittel,11
721,22_5687,energie,11
722,22_5687,tsd,10
723,22_5687,senatsvertreterinnen,10
724,22_5687,klima,9
725,22_5687,umwelt,9
726,22_5687,ebenfalls,7
727,22_5687,tunneltal,7
728,22_5687,zuwendungen,7
729,22_5687,naturschutz,7
730,22_5687,benötigt,7
731,22_5687,bereich,6
732,22_5687,dennoch,6
733,22_5687,entschlammung,6
734,22_5687,gebe,6
735,22_5687,haushaltsausschuss,6
736,22_5687,stellmoorer,5
737,22_5687,naturschutzgebiet,5
738,22_5687,programme,5
739,22_5687,bedarfe,5
740,22_5693,hektar,6
741,22_5693,angaben,6
742,22_5693,anteil,6
743,22_5693,rund,5
744,22_5693,grundvermögen,5
745,22_5693,bodenpolitik,5
746,22_5693,erworben,5
747,22_5693,größe,4
748,22_5693,pressekonferenz,4
749,22_5693,rd,4
750,22_5693,dezember,4
751,22_5693,stichtag,4
752,22_5693,dabei,4
753,22_5693,ha,4
754,22_5693,geschäftsbericht,3
755,22_5693,einzelnen,3
756,22_5693,ankäufe,3
757,22_5693,finanzbehörde,3
758,22_5693,entwicklung,3
759,22_5693,immobilienstrategie,3
760,22_5718,erhaltungsverordnung,21
761,22_5718,sozialen,19
762,22_5718,absatz,13
